"gyros_belt_x","gyros_belt_y","gyros_belt_z","magnet_belt_x","magnet_belt_y","roll_arm","pitch_arm","yaw_arm","total_accel_arm","gyros_arm_y","gyros_arm_z","magnet_arm_x","magnet_arm_z","roll_dumbbell","pitch_dumbbell","yaw_dumbbell","total_accel_dumbbell","gyros_dumbbell_y","magnet_dumbbell_z","roll_forearm","pitch_forearm","yaw_forearm","total_accel_forearm","gyros_forearm_x","gyros_forearm_y","accel_forearm_x","accel_forearm_z","magnet_forearm_x","magnet_forearm_y","magnet_forearm_z","classe"
0,0,-0.02,-3,599,-128,22.5,-161,34,0,-0.02,-368,516,13.05217456,-70.49400371,-84.87393888,37,-0.02,-65,28.4,-63.9,-153,36,0.03,0,192,-215,-17,654,476,"A"
0.02,0,-0.02,-7,608,-128,22.5,-161,34,-0.02,-0.02,-369,513,13.13073959,-70.63750507,-84.71064711,37,-0.02,-64,28.3,-63.9,-153,36,0.02,0,192,-216,-18,661,473,"A"
0,0,-0.02,-2,600,-128,22.5,-161,34,-0.02,-0.02,-368,513,12.85074981,-70.27811982,-85.14078134,37,-0.02,-63,28.3,-63.9,-152,36,0.03,-0.02,196,-213,-18,658,469,"A"
0.02,0,-0.03,-6,604,-128,22.1,-161,34,-0.03,0.02,-372,512,13.43119971,-70.39379464,-84.87362553,37,-0.02,-60,28.1,-63.9,-152,36,0.02,-0.02,189,-214,-16,658,469,"A"
0.02,0.02,-0.02,-6,600,-128,22.1,-161,34,-0.03,0,-374,506,13.37871611,-70.42855971,-84.85305745,37,-0.02,-68,28,-63.9,-152,36,0.02,0,189,-214,-17,655,473,"A"
0.02,0,-0.02,0,603,-128,22,-161,34,-0.03,0,-369,513,13.38245941,-70.81758832,-84.46500278,37,-0.02,-66,27.9,-63.9,-152,36,0.02,-0.02,193,-215,-9,660,478,"A"
0.02,0,-0.02,-4,599,-128,21.9,-161,34,-0.03,0,-373,509,13.12694911,-70.24756905,-85.09961258,37,-0.02,-70,27.9,-63.9,-152,36,0.02,0,195,-215,-18,659,470,"A"
0.02,0,-0.02,-2,603,-128,21.8,-161,34,-0.02,0,-372,510,12.75083041,-70.34768359,-85.09708174,37,-0.02,-74,27.8,-63.8,-152,36,0.02,-0.02,193,-213,-9,660,474,"A"
0.02,0,-0.02,1,602,-128,21.7,-161,34,-0.03,-0.02,-369,518,13.15463353,-70.42520377,-84.91563379,37,-0.02,-65,27.7,-63.8,-152,36,0.03,0,193,-214,-16,653,476,"A"
0.03,0,0,-3,609,-128,21.6,-161,34,-0.03,-0.02,-376,516,13.33033728,-70.85058796,-84.44601983,37,-0.02,-69,27.7,-63.8,-152,36,0.02,0,190,-215,-22,656,473,"A"
0.03,0,-0.02,-5,596,-128,21.5,-161,34,-0.03,0,-366,509,13.13073959,-70.63750507,-84.71064711,37,-0.02,-64,27.6,-63.8,-152,36,0.02,-0.02,193,-214,-17,657,465,"A"
0.02,0,-0.02,-2,602,-128,21.5,-161,34,-0.03,0,-363,520,13.10320545,-70.45974712,-84.89472246,37,-0.02,-65,27.5,-63.8,-152,36,0.02,0.02,191,-215,-11,657,478,"A"
0.02,0,0,-3,606,-128,21.4,-161,34,-0.02,-0.02,-372,509,13.38245941,-70.81758832,-84.46500278,37,-0.02,-69,27.2,-63.9,-151,36,0,0,193,-215,-15,655,472,"A"
0.02,0,-0.02,-8,598,-128,21.4,-161,34,0,-0.03,-371,523,13.41047767,-70.99594236,-84.28004856,37,-0.02,-68,27.2,-63.9,-151,36,0,-0.02,193,-214,-14,659,478,"A"
0,0,0,-1,597,-129,21.4,-161,34,0,-0.03,-374,510,13.07948887,-70.67116245,-84.69053461,37,-0.02,-63,27.2,-63.9,-151,36,0,-0.02,192,-214,-16,656,472,"A"
0,0,0,0,592,-129,21.3,-161,34,0,-0.03,-367,509,13.35068947,-70.25176373,-85.03638595,37,-0.02,-73,27.1,-64,-151,36,0.02,0,194,-215,-13,656,471,"A"
0,0,-0.02,-6,598,-129,21.3,-161,34,0,-0.02,-371,512,13.04835112,-70.10639112,-85.26057697,37,-0.02,-56,27.1,-64,-151,36,0.02,-0.02,192,-213,-13,653,481,"A"
0,0.02,0,1,600,-129,21.2,-161,34,-0.02,-0.03,-373,510,13.2064634,-70.3903701,-84.93667392,36,-0.02,-62,27,-64,-151,36,0.02,0,192,-216,-16,653,472,"A"
0,0,-0.02,-3,603,-129,21.2,-161,34,-0.02,-0.02,-369,509,13.07574259,-70.28271016,-85.07803122,37,-0.02,-74,26.9,-64,-151,36,0.02,0,192,-216,-10,657,466,"A"
0.02,0,-0.02,-1,604,-129,21.1,-161,34,-0.02,-0.02,-373,514,12.75083041,-70.34768359,-85.09708174,37,-0.02,-66,26.9,-64,-151,36,0.02,-0.02,193,-215,-9,657,480,"A"
0.02,0,-0.02,-10,607,-129,20.9,-161,34,-0.02,-0.02,-375,513,13.38245941,-70.81758832,-84.46500278,37,-0.02,-72,26.9,-63.9,-151,36,0.03,-0.03,194,-214,-11,654,469,"A"
0.02,0.02,-0.02,-2,604,-129,20.8,-161,34,-0.02,-0.02,-372,510,13.37871611,-70.42855971,-84.85305745,37,-0.02,-65,27,-63.9,-151,36,0.02,-0.03,191,-213,-17,654,478,"A"
0.02,0,-0.02,-4,606,-129,20.7,-161,34,-0.02,-0.02,-373,509,13.35451266,-70.63995378,-84.64918975,37,-0.02,-69,26.9,-63.8,-151,36,0.02,-0.02,194,-214,-10,653,467,"A"
0.02,0,-0.02,-3,601,-129,20.7,-161,34,0,-0.02,-374,516,13,-70.7,-84.7,37,-0.02,-71,27.1,-63.7,-151,36,0.03,-0.03,193,-213,-11,661,470,"A"
0.03,0,0,-8,605,-129,20.7,-161,34,-0.02,0,-370,512,13.05217456,-70.49400371,-84.87393888,37,-0.02,-68,27.1,-63.7,-151,36,0.05,-0.03,191,-214,-14,667,470,"A"
0.02,0,0,-10,601,-129,20.7,-161,34,-0.02,-0.02,-366,511,12.80059675,-70.31304585,-85.11886321,37,-0.02,-72,27,-63.7,-151,36,0.03,0,190,-216,-16,658,462,"A"
0.03,0,-0.02,3,597,-129,20.7,-161,34,-0.02,0,-371,505,12.82749458,-70.49031927,-84.93557392,37,-0.02,-68,27,-63.6,-151,36,0.03,0,192,-214,-14,657,467,"A"
0.03,0,-0.02,-4,599,-129,20.7,-161,34,-0.02,0,-364,532,13.05217456,-70.49400371,-84.87393888,37,-0.02,-72,26.9,-63.7,-151,36,0.02,0.02,193,-217,-14,657,477,"A"
0.03,0,-0.02,-4,606,-129,20.7,-161,34,-0.02,0,-367,514,13.05217456,-70.49400371,-84.87393888,37,-0.02,-60,26.8,-63.6,-151,36,0.02,-0.02,195,-217,-12,657,469,"A"
0.03,0,-0.02,2,593,-129,20.7,-161,34,-0.02,0,-366,523,13.07948887,-70.67116245,-84.69053461,37,-0.02,-64,26.8,-63.6,-151,36,0.02,-0.02,189,-217,-4,661,479,"A"
0.02,0.02,-0.02,0,601,-129,20.7,-161,34,0,0,-371,512,12.52525589,-70.34276829,-85.15887803,37,-0.02,-64,26.8,-63.6,-151,36,0.02,0,192,-217,-13,660,469,"A"
0.02,0,-0.03,-4,603,-129,20.6,-161,34,-0.02,-0.02,-368,528,13.10687346,-70.84904,-84.50636612,37,-0.02,-66,26.7,-63.7,-151,36,0,0,192,-216,-19,653,466,"A"
0,0,-0.03,4,602,-129,20.5,-161,34,-0.02,0,-375,508,13.29883416,-70.28683115,-85.01527601,37,-0.02,-62,26.7,-63.7,-151,36,0,-0.02,196,-216,-15,650,473,"A"
0.02,0.02,-0.02,-6,604,-129,20.5,-161,34,-0.02,0,-369,512,13.30261297,-70.67355141,-84.62953444,37,-0.02,-68,26.7,-63.7,-151,36,0,0,188,-214,-14,656,465,"A"
0,0,-0.03,1,600,-129,20.5,-161,34,-0.02,-0.02,-369,514,13.35451266,-70.63995378,-84.64918975,37,-0.02,-65,26.6,-63.7,-151,36,0,0,191,-216,-15,651,464,"A"
0,0,-0.02,-3,603,-130,20.3,-161,34,-0.02,-0.03,-368,515,13.07574259,-70.28271016,-85.07803122,37,-0.02,-61,26.5,-63.8,-150,36,-0.02,0.02,191,-215,-9,654,471,"A"
0,0.02,-0.02,0,606,-130,20.3,-161,34,-0.02,-0.02,-363,515,13.35451266,-70.63995378,-84.64918975,37,-0.02,-65,26.4,-63.9,-150,36,-0.02,0.02,193,-214,-17,656,472,"A"
0,0,-0.02,-3,604,-130,20.2,-161,34,-0.02,-0.02,-373,507,13.65402259,-70.39675962,-84.81058285,37,-0.02,-69,26.4,-63.9,-150,36,-0.02,-0.02,191,-215,-18,651,469,"A"
0.02,0,-0.02,-2,601,-130,20.2,-161,34,-0.02,0,-369,510,13.05217456,-70.49400371,-84.87393888,37,-0.02,-68,26.4,-63.9,-150,36,0,-0.02,194,-213,-11,658,472,"A"
0.03,0,-0.02,-1,596,-130,20.1,-162,34,-0.02,-0.02,-376,514,13.07574259,-70.28271016,-85.07803122,37,-0.02,-71,26.4,-63.9,-150,36,0.02,-0.02,194,-214,-16,654,478,"A"
0.03,0,-0.03,1,600,-130,20.1,-162,34,-0.02,-0.02,-375,510,12.80059675,-70.31304585,-85.11886321,37,-0.02,-65,26.4,-63.9,-150,36,0.03,-0.02,192,-212,-11,655,470,"A"
0,0,-0.03,1,606,-130,20,-162,34,-0.02,-0.02,-370,500,13.13073959,-70.63750507,-84.71064711,37,-0.02,-64,26.4,-63.9,-150,36,0.03,-0.02,193,-216,-14,656,464,"A"
0,0.02,-0.03,2,602,-130,19.9,-162,34,-0.03,-0.02,-372,507,13.70755934,-70.36176881,-84.83080156,37,0,-62,26.4,-63.9,-150,36,0.02,-0.02,192,-216,-13,659,465,"A"
-0.02,0.02,-0.03,-4,599,-130,19.9,-162,34,-0.03,0,-373,516,13.35451266,-70.63995378,-84.64918975,37,-0.02,-68,26.3,-63.9,-150,36,0.02,0.02,192,-216,-3,653,460,"A"
-0.02,0.02,0,-8,603,-130,19.7,-162,34,-0.03,-0.02,-367,515,12.45410714,-70.58765444,-84.93285578,37,-0.02,-65,26,-63.9,-150,36,0.02,-0.02,192,-215,-12,648,464,"A"
